student_number,school_year,sem,year_level,section,status
10-1800,2018-2019,1st Sem,II,,REGULAR
13-0322,2018-2019,1st Sem,IV ,,REGULAR
14-0152,2018-2019,1st Sem,IV ,,REGULAR
14-0153,2018-2019,1st Sem,IV ,,REGULAR
14-0156,2018-2019,1st Sem,IV ,,REGULAR
14-0157,2018-2019,1st Sem,IV ,,REGULAR
14-0158,2018-2019,1st Sem,IV ,,REGULAR
14-0159,2018-2019,1st Sem,IV ,,REGULAR
14-0163,2018-2019,1st Sem,IV ,,REGULAR
14-0166,2018-2019,1st Sem,IV ,,REGULAR
14-0167,2018-2019,1st Sem,IV ,,REGULAR
14-0168,2018-2019,1st Sem,IV ,,REGULAR
14-0169,2018-2019,1st Sem,IV ,,REGULAR
15-0027,2018-2019,1st Sem,III,,REGULAR
15-0029,2018-2019,1st Sem,III,,REGULAR
15-0030,2018-2019,1st Sem,III,,REGULAR
15-0031,2018-2019,1st Sem,III,,REGULAR
15-0032,2018-2019,1st Sem,III,,REGULAR
15-0033,2018-2019,1st Sem,III,,REGULAR
15-0039,2018-2019,1st Sem,III,,REGULAR
15-0040,2018-2019,1st Sem,III,,REGULAR
15-0043,2018-2019,1st Sem,III,,REGULAR
15-0045,2018-2019,1st Sem,III,,REGULAR
15-0046,2018-2019,1st Sem,III,,REGULAR
15-0047,2018-2019,1st Sem,III,,REGULAR
15-0048,2018-2019,1st Sem,III,,REGULAR
15-0049,2018-2019,1st Sem,III,,REGULAR
15-0051,2018-2019,1st Sem,III,,REGULAR
15-0053,2018-2019,1st Sem,III,,REGULAR
15-0102,2018-2019,1st Sem,III,,IRREGULAR
17-0059,2018-2019,1st Sem,I,,REGULAR
17-0061,2018-2019,1st Sem,I,,REGULAR
17-0062,2018-2019,1st Sem,I,,REGULAR
17-0063,2018-2019,1st Sem,I,,REGULAR
17-0064,2018-2019,1st Sem,I,,IRREGULAR
17-0065,2018-2019,1st Sem,I,,REGULAR
16-0109,2018-2019,1st Sem,II,,REGULAR
16-0112,2018-2019,1st Sem,II,,REGULAR
13-0304,2018-2019,1st Sem,IV,,REGULAR
14-0228,2018-2019,1st Sem,IV,,REGULAR
10-1759,2018-2019,1st Sem,IV,,REGULAR
12-0026,2018-2019,1st Sem,IV,,REGULAR
13-0010,2018-2019,1st Sem,IV ,,REGULAR
13-0015,2018-2019,1st Sem,IV ,,REGULAR
13-0026,2018-2019,1st Sem,IV ,,REGULAR
13-0110,2018-2019,1st Sem,IV ,,REGULAR
13-0255,2018-2019,1st Sem,IV ,,REGULAR
13-0280,2018-2019,1st Sem,IV ,,REGULAR
13-0312,2018-2019,1st Sem,IV ,,REGULAR
14-0196,2018-2019,1st Sem,IV ,,REGULAR
14-0201,2018-2019,1st Sem,IV ,,REGULAR
14-0205,2018-2019,1st Sem,IV ,,REGULAR
14-0206,2018-2019,1st Sem,IV ,,REGULAR
14-0208,2018-2019,1st Sem,IV ,,REGULAR
14-0210,2018-2019,1st Sem,IV ,,REGULAR
14-0211,2018-2019,1st Sem,IV ,,REGULAR
14-0212,2018-2019,1st Sem,IV ,,REGULAR
14-0213,2018-2019,1st Sem,IV ,,REGULAR
14-0215,2018-2019,1st Sem,IV ,,REGULAR
14-0216,2018-2019,1st Sem,IV ,,REGULAR
14-0217,2018-2019,1st Sem,IV ,,REGULAR
14-0219,2018-2019,1st Sem,IV ,,REGULAR
14-0220,2018-2019,1st Sem,IV ,,REGULAR
14-0221,2018-2019,1st Sem,IV ,,REGULAR
14-0222,2018-2019,1st Sem,IV ,,REGULAR
14-0224,2018-2019,1st Sem,IV ,,REGULAR
14-0226,2018-2019,1st Sem,IV ,,REGULAR
14-0227,2018-2019,1st Sem,IV ,,REGULAR
14-0229,2018-2019,1st Sem,IV ,,REGULAR
14-0230,2018-2019,1st Sem,IV ,,REGULAR
14-0231,2018-2019,1st Sem,IV ,,REGULAR
14-0233,2018-2019,1st Sem,IV ,,REGULAR
14-0234,2018-2019,1st Sem,IV ,,REGULAR
14-0235,2018-2019,1st Sem,IV ,,REGULAR
14-0239,2018-2019,1st Sem,IV ,,REGULAR
14-0243,2018-2019,1st Sem,IV ,,REGULAR
14-0244,2018-2019,1st Sem,IV ,,REGULAR
14-0246,2018-2019,1st Sem,IV ,,REGULAR
14-0249,2018-2019,1st Sem,IV ,,REGULAR
14-0251,2018-2019,1st Sem,IV ,,REGULAR
14-0253,2018-2019,1st Sem,IV ,,REGULAR
14-0256,2018-2019,1st Sem,IV ,,REGULAR
14-0257,2018-2019,1st Sem,III ,,REGULAR
14-0259,2018-2019,1st Sem,IV ,,REGULAR
14-0262,2018-2019,1st Sem,IV ,,REGULAR
14-0264,2018-2019,1st Sem,IV ,,REGULAR
14-0265,2018-2019,1st Sem,IV ,,REGULAR
14-0267,2018-2019,1st Sem,IV ,,REGULAR
14-0269,2018-2019,1st Sem,IV ,,REGULAR
14-0272,2018-2019,1st Sem,IV ,,IRREGULAR
14-0276,2018-2019,1st Sem,IV ,,REGULAR
14-0277,2018-2019,1st Sem,IV ,,REGULAR
14-0278,2018-2019,1st Sem,IV ,,REGULAR
14-0279,2018-2019,1st Sem,IV ,,REGULAR
14-0280,2018-2019,1st Sem,IV ,,REGULAR
14-0281,2018-2019,1st Sem,IV ,,REGULAR
14-0282,2018-2019,1st Sem,IV ,,REGULAR
14-0284,2018-2019,1st Sem,IV ,,REGULAR
14-0285,2018-2019,1st Sem,IV ,,REGULAR
14-0286,2018-2019,1st Sem,IV ,,REGULAR
14-0287,2018-2019,1st Sem,IV ,,REGULAR
14-0289,2018-2019,1st Sem,IV ,,REGULAR
14-0290,2018-2019,1st Sem,IV ,,IRREGULAR
14-0328,2018-2019,1st Sem,IV,,REGULAR
14-0359,2018-2019,1st Sem,IV,,REGULAR
14-0396,2018-2019,1st Sem,IV,,REGULAR
14-0411,2018-2019,1st Sem,IV,,REGULAR
14-0422,2018-2019,1st Sem,IV,,REGULAR
14-0427,2018-2019,1st Sem,IV,,REGULAR
14-0435,2018-2019,1st Sem,IV,,REGULAR
15-0293,2018-2019,1st Sem,I,,REGULAR
17-0006,2018-2019,1st Sem,I,,REGULAR
17-0007,2018-2019,1st Sem,I,,REGULAR
17-0008,2018-2019,1st Sem,I,,REGULAR
17-0010,2018-2019,1st Sem,I,,REGULAR
17-0019,2018-2019,1st Sem,I,,REGULAR
17-0020,2018-2019,1st Sem,I,,REGULAR
17-0024,2018-2019,1st Sem,I,,REGULAR
17-0034,2018-2019,1st Sem,I,,REGULAR
15-0419,2018-2019,1st Sem,II,,IRREGULAR
16-0007,2018-2019,1st Sem,II,,REGULAR
16-0013,2018-2019,1st Sem,II,,REGULAR
16-0014,2018-2019,1st Sem,II,,REGULAR
16-0018,2018-2019,1st Sem,II,,REGULAR
16-0019,2018-2019,1st Sem,II,,REGULAR
16-0027,2018-2019,1st Sem,II,,REGULAR
16-0029,2018-2019,1st Sem,II,,REGULAR
16-0032,2018-2019,1st Sem,II,,REGULAR
17-0039,2018-2019,1st Sem,II,,IRREGULAR
14-0275,2018-2019,1st Sem,III ,,IRREGULAR
15-0238,2018-2019,1st Sem,III,,REGULAR
15-0240,2018-2019,1st Sem,III,,REGULAR
15-0242,2018-2019,1st Sem,III,,REGULAR
15-0249,2018-2019,1st Sem,III,,REGULAR
15-0253,2018-2019,1st Sem,III,,REGULAR
15-0257,2018-2019,1st Sem,III,,REGULAR
15-0268,2018-2019,1st Sem,III,,REGULAR
15-0272,2018-2019,1st Sem,III,,REGULAR
15-0274,2018-2019,1st Sem,III,,REGULAR
15-0278,2018-2019,1st Sem,III,,REGULAR
15-0288,2018-2019,1st Sem,III,,REGULAR
15-0290,2018-2019,1st Sem,III,,REGULAR
15-0297,2018-2019,1st Sem,III,,REGULAR
15-0298,2018-2019,1st Sem,III,,REGULAR
15-0299,2018-2019,1st Sem,III,,REGULAR
15-0306,2018-2019,1st Sem,III,,REGULAR
15-0323,2018-2019,1st Sem,III,,REGULAR
15-0324,2018-2019,1st Sem,III,,REGULAR
15-0325,2018-2019,1st Sem,III,,REGULAR
15-0326,2018-2019,1st Sem,III,,REGULAR
15-0327,2018-2019,1st Sem,III,,REGULAR
15-0336,2018-2019,1st Sem,III,,REGULAR
15-0340,2018-2019,1st Sem,III,,REGULAR
15-0341,2018-2019,1st Sem,III,,REGULAR
15-0344,2018-2019,1st Sem,III,,REGULAR
